transaction_id,client_id,date_transaction,montant,devise,taux_change_eur,montant_eur,categorie,produit,agence,type_operation,statut,score_credit_client,segment_client,solde_avant,taux_interet
TXN000559,CLI0060,2022-04-19 02:31:00,2050.42,EUR,1.0,2050.42,Depot especes,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,,Premium,16415.1,
TXN001154,CLI0057,2024-06-20 20:51:00,-123.66,GBP,0.86,-143.79,Retrait DAB,Credit Consommation,,Debit,Rejete,435.0,Risque,42890.81,
TXN000764,CLI0015,2024-08-28 05:03:00,-396.17,EUR,1.0,-396.17,Prelevement,PEA,Lyon-Part-Dieu,Debit,Complete,648.0,Standard,48489.38,
TXN001598,CLI0045,2024-01-07 08:16:00,225.2,EUR,1.0,225.2,Paiement CB,Credit Consommation,Bordeaux-Meriadeck,Credit,Complete,704.0,Standard,43962.51,
TXN001873,CLI0034,2024-08-11 19:52:00,935.32,EUR,1.0,935.32,Interets,Credit Immobilier,Bordeaux-Meriadeck,Credit,Complete,457.0,Risque,17312.83,
TXN001864,CLI0061,2024-04-28 23:08:00,-256.73,CHF,0.97,-264.67,Remboursement credit,Compte Epargne,Marseille-Vieux-Port,Debit,Rejete,341.0,Risque,29211.28,
TXN000931,CLI0118,2023-09-13 12:04:00,2752.67,EUR,1.0,2752.67,Depot especes,Compte Epargne,Lille-Grand-Place,Credit,Rejete,641.0,Standard,30331.51,
TXN000620,CLI0005,11/05/2022 08:57,1962.49,EUR,1.0,1962.49,Remboursement credit,Livret A,Lille-Grand-Place,Credit,Complete,694.0,STANDARD,46954.33,
TXN000581,CLI0064,2022-10-24 11:30:00,363.52,GBP,0.86,422.7,Paiement CB,Compte Courant,Lille-Grand-Place,Credit,Complete,800.0,PREMIUM,45270.95,
TXN000726,CLI0085,2022-04-21 21:15:00,6451.32,EUR,1.0,6451.32,Virement international,Credit Consommation,Toulouse-Capitole,Credit,Complete,390.0,Risque,19136.15,
TXN000701,CLI0009,2023-11-08 18:40:00,2407.48,EUR,1.0,2407.48,Depot especes,Compte Epargne,Nice-Massena,Credit,Rejete,,Standard,10289.81,
TXN001018,CLI0031,2022-12-31 00:55:00,-1128.78,USD,1.08,-1045.17,Remboursement credit,PEA,Bordeaux-Meriadeck,Debit,Complete,559.0,Risque,10767.62,
TXN001870,CLI0038,2023-08-24 04:11:00,-193.06,USD,1.08,-178.76,Retrait DAB,Compte Epargne,Bordeaux-Meriadeck,Debit,Complete,516.0,Risque,17181.83,
TXN001124,CLI0134,2022-09-27 10:27:00,-199.89,USD,1.08,-185.08,Paiement CB,Compte Courant,Nice-Massena,Debit,Complete,600.0,Standard,40008.59,
TXN000116,CLI0077,2024-11-09 17:31:03,-5728.17,EUR,1.0,-5728.17,Virement international,Compte Courant,Paris-Centre,Debit,Complete,322.0,Risque,33722.94,
TXN000420,CLI0110,2023-11-06 14:34:00,83.25,CHF,0.97,85.82,Paiement CB,Credit Consommation,Toulouse-Capitole,Credit,Complete,629.0,Standard,15519.02,
TXN001683,CLI0080,2024-02-18 08:14:00,-642.99,USD,1.08,-595.36,Prelevement,Credit Consommation,Paris-Centre,Debit,En attente,,Premium,36036.25,
TXN001946,CLI0054,2022-09-24 14:46:00,-658.41,USD,1.08,-609.64,Remboursement credit,Credit Immobilier,Bordeaux-Meriadeck,Debit,Complete,347.0,,32208.9,
TXN001726,CLI0036,2024-08-08 12:19:00,962.1,MAD,10.85,88.67,Remboursement credit,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,572.0,Risque,14957.42,
TXN001963,CLI0096,2022-05-02 03:39:00,-7100.94,EUR,1.0,-7100.94,Virement international,PEA,Lyon-Part-Dieu,Debit,Complete,710.0,Standard,39831.11,
TXN000886,CLI0128,2024-05-12 03:07:00,1385.72,MAD,10.85,127.72,Virement,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,683.0,Standard,1161.31,
